project_name	run_id	duration	emissions_rate	cpu_power	gpu_power	ram_power	cpu_energy	gpu_energy	ram_energy	energy_consumed	os	python_version	codecarbon_version	cpu_count	cpu_model	gpu_count	gpu_model	ram_total_size	tracking_mode	on_cloud	pue	model	split	recall@10	mrr@10	ndcg@10	hit@10	map@10	precision@10	gauc	itemcoverage@10	averagepopularity@10	giniindex@10	shannonentropy@10	tailpercentage@10	global_emissions_kg
'SpectralCF_movielens_split_2'	'4127f95e-4a66-48c9-bd15-a3b6f70cb903'	414.5823538303375	1.2269799560647e-05	42.5	29.58940294041745	10.2771635055542	0.0048943399116396	0.0070092369962742	0.0011831640475725	0.0130867409554864	'Linux-5.15.0-1040-azure-x86_64-with-glibc2.10'	'3.8.5'	'2.3.4'	4.0	'AMD EPYC 7V12 64-Core Processor'	1.0	'1 x Tesla T4'	27.40576934814453	'machine'	'N'	1.0	SpectralCF	20%	0.0414	0.2014	0.089	0.5401	0.034	0.0846	0.8181	0.7014	184.7471	0.7833	0.0031	0.0006	6.216201953856039
'SpectralCF_movielens_split_4'	'38dd6507-2055-4bbb-94e2-38655fc281fa'	1239.5862300395966	1.288977851632042e-05	42.5	29.79918887660499	10.2771635055542	0.0146339123775561	0.0229345886254339	0.0035375184080008	0.0411060194109909	'Linux-5.15.0-1040-azure-x86_64-with-glibc2.10'	'3.8.5'	'2.3.4'	4.0	'AMD EPYC 7V12 64-Core Processor'	1.0	'1 x Tesla T4'	27.40576934814453	'machine'	'N'	1.0	SpectralCF	40%	0.0619	0.2688	0.1257	0.6581	0.0518	0.1173	0.851	0.7243	357.087	0.7694	0.003	0.0001	19.52535922022068
'SpectralCF_movielens_split_6'	'36137e09-7e89-46f2-a51e-cdcebbe64950'	2523.2119879722595	1.3048032098289592e-05	42.5	33.64508335994166	10.2771635055542	0.0297876588925719	0.04771109650218	0.0072009657537142	0.0846997211484662	'Linux-5.15.0-1040-azure-x86_64-with-glibc2.10'	'3.8.5'	'2.3.4'	4.0	'AMD EPYC 7V12 64-Core Processor'	1.0	'1 x Tesla T4'	27.40576934814453	'machine'	'N'	1.0	SpectralCF	60%	0.0807	0.334	0.1656	0.7493	0.0737	0.153	0.8732	0.7188	551.7799	0.7783	0.003	0.0002	40.23236754552145
'SpectralCF_movielens_split_8'	'984ad28a-fbc2-4118-b7d6-9e50ec1500c7'	4358.275009632111	1.3109280469187493e-05	42.5	31.65382762077372	10.2771635055542	0.0514515411338872	0.0830966781439563	0.012438031019603	0.1469862502974467	'Linux-5.15.0-1040-azure-x86_64-with-glibc2.10'	'3.8.5'	'2.3.4'	4.0	'AMD EPYC 7V12 64-Core Processor'	1.0	'1 x Tesla T4'	27.40576934814453	'machine'	'N'	1.0	SpectralCF	80%	0.1033	0.4088	0.2187	0.8123	0.1079	0.2004	0.8913	0.7421	711.0716	0.7638	0.0029	0.0002	69.81846889128718
'SpectralCF_movielens_split_10'	'd8cfc26a-c7d2-49ba-9d50-d93591c83f0e'	6680.13621544838	1.3144335017628304e-05	42.5	29.39841243300041	10.2771635055542	0.0788622591421007	0.1279689534861918	0.0190640705944466	0.2258952832227391	'Linux-5.15.0-1040-azure-x86_64-with-glibc2.10'	'3.8.5'	'2.3.4'	4.0	'AMD EPYC 7V12 64-Core Processor'	1.0	'1 x Tesla T4'	27.40576934814453	'machine'	'N'	1.0	SpectralCF	100%	0.1335	0.5288	0.3162	0.8617	0.1915	0.2857	0.9085	0.7463	915.8877	0.7707	0.0029	0.0001	107.30025953080107
'LightGCN_movielens_split_2'	'c6c6b695-3c31-4c72-bc2b-71966282ffd0'	270.99893736839294	1.1469111127410305e-05	42.5	25.26685745634702	10.2771635055542	0.0031992706959446	0.0040234696076622	0.0007734030866721	0.0079961433902789	'Linux-5.15.0-1040-azure-x86_64-with-glibc2.10'	'3.8.5'	'2.3.4'	4.0	'AMD EPYC 7V12 64-Core Processor'	1.0	'1 x Tesla T4'	27.40576934814453	'machine'	'N'	1.0	LightGCN	20%	0.06	0.2732	0.1245	0.6478	0.0516	0.1145	0.8425	0.6262	231.6472	0.8688	0.0032	0.0016	3.7981681103824774
'LightGCN_movielens_split_4'	'85722a49-7936-4ed5-8c72-189de56b508e'	680.4028820991516	1.2656214964079429e-05	42.5	26.214019579265933	10.2771635055542	0.0080324653498	0.0121798447438679	0.0019417440095423	0.0221540541032103	'Linux-5.15.0-1040-azure-x86_64-with-glibc2.10'	'3.8.5'	'2.3.4'	4.0	'AMD EPYC 7V12 64-Core Processor'	1.0	'1 x Tesla T4'	27.40576934814453	'machine'	'N'	1.0	LightGCN	40%	0.0848	0.3396	0.1647	0.757	0.0719	0.1505	0.8727	0.6104	441.9899	0.8557	0.0033	0.0002	10.523175699024893
'LightGCN_movielens_split_6'	'f147fe65-3053-43b6-8917-4765bb5f64d1'	1326.570139169693	1.2878196767156184e-05	42.5	27.09325885122542	10.2771635055542	0.0156607865250772	0.0245043715479256	0.0037858153659324	0.0439509734389354	'Linux-5.15.0-1040-azure-x86_64-with-glibc2.10'	'3.8.5'	'2.3.4'	4.0	'AMD EPYC 7V12 64-Core Processor'	1.0	'1 x Tesla T4'	27.40576934814453	'machine'	'N'	1.0	LightGCN	60%	0.1046	0.4027	0.2083	0.8186	0.099	0.1892	0.8898	0.61	633.2263	0.8419	0.0033	0.0001	20.876712383494315
'LightGCN_movielens_split_8'	'40faba89-8893-41ce-8419-ccf1fa79cd87'	2254.550481557846	1.300255693749217e-05	42.5	34.81365489768906	10.2771635055542	0.0266159855584303	0.0423673936161095	0.0064340897474268	0.0754174689219666	'Linux-5.15.0-1040-azure-x86_64-with-glibc2.10'	'3.8.5'	'2.3.4'	4.0	'AMD EPYC 7V12 64-Core Processor'	1.0	'1 x Tesla T4'	27.40576934814453	'machine'	'N'	1.0	LightGCN	80%	0.1272	0.4812	0.2676	0.869	0.1413	0.2414	0.9049	0.6151	819.0899	0.8327	0.0033	0.0001	35.82329773793413
'LightGCN_movielens_split_10'	'dad376b8-b48e-441b-8584-152758e30290'	3410.125226259232	1.3084975266926097e-05	42.5	24.10879960035701	10.2771635055542	0.0402581378055943	0.0648058012890437	0.0097319823123081	0.1147959214069461	'Linux-5.15.0-1040-azure-x86_64-with-glibc2.10'	'3.8.5'	'2.3.4'	4.0	'AMD EPYC 7V12 64-Core Processor'	1.0	'1 x Tesla T4'	27.40576934814453	'machine'	'N'	1.0	LightGCN	100%	0.158	0.5961	0.3694	0.9013	0.2369	0.3291	0.9197	0.6245	1006.7267	0.8272	0.0033	0.0001	54.52806266829939
